	Lanzhou	Yinchuan	Shantou	Tunxi	Changsha	Jinan	Zhengzhou	Xiamen	Xining	Shexian	Suzhou	Beijing	Wenzhou	Tianjin	Wulumuqi	Guiyang	Shanghai	Taibei	Taoyuan	Hangzhou	Xian	Hefei	Guangzhou	Haikou	Meixian	Wuhan	Xianggang	Jianou	Pingyao	Qingdao	Fuzhou	Nanchang	Nanjing	Huhehaote	Haerbin	Nanning	Chengdu	Xiangtan	Kunming	Taiyuan
Suzhou	4.723502304147466	4.557603686635945	4.161290322580645	4.525345622119816	4.391705069124424	5.387096774193548	5.096774193548387	4.548387096774193	4.43778801843318	4.889400921658986	0.0	4.917050691244239	5.387096774193548	5.082949308755761	5.11520737327189	4.76036866359447	2.193548387096774	4.5207373271889395	5.064516129032258	2.741935483870968	5.08294930875576	3.608294930875576	4.336405529953917	5.023041474654378	3.861751152073733	5.0	4.202764976958525	5.0368663594470044	4.216589861751152	5.023041474654378	4.396313364055299	3.377880184331797	3.6820276497695854	4.631336405529954	4.705069124423963	4.972350230414746	4.912442396313365	4.557603686635945	4.907834101382488	3.953917050691244
Beijing	4.290322580645162	3.5161290322580645	5.147465437788018	4.216589861751152	3.207373271889401	3.8894009216589858	3.119815668202765	3.7465437788018434	3.861751152073733	4.990783410138249	4.917050691244239	0.0	5.032258064516129	2.1474654377880187	3.7142857142857144	3.8755760368663594	5.211981566820277	4.225806451612903	4.714285714285714	5.359447004608295	3.0829493087557607	4.359447004608295	4.820276497695852	4.7373271889400925	4.2626728110599075	4.082949308755761	4.56221198156682	3.9723502304147464	4.935483870967742	3.391705069124424	5.105990783410139	3.8525345622119818	3.6036866359447	4.603686635944701	1.2488479262672811	4.364055299539171	3.1797235023041477	3.5529953917050694	3.894009216589862	4.566820276497696
Wenzhou	4.788018433179723	4.488479262672811	5.944700460829493	4.493087557603687	4.700460829493087	3.797235023041475	5.152073732718894	5.67741935483871	5.271889400921658	4.8663594470046085	5.387096774193548	5.032258064516129	0.0	5.271889400921658	4.433179723502304	4.967741935483871	5.0691244239631335	6.064516129032258	5.483870967741936	5.640552995391705	5.032258064516129	5.741935483870968	4.870967741935484	5.4147465437788025	5.589861751152074	4.400921658986175	4.935483870967742	5.087557603686636	5.419354838709678	4.626728110599078	5.6036866359447	6.1981566820276495	5.9953917050691246	4.857142857142858	5.152073732718894	4.67741935483871	4.875576036866359	4.599078341013825	4.76036866359447	5.769585253456221
Tianjin	3.539170506912442	3.1105990783410142	4.797235023041475	4.165898617511521	3.2718894009216593	3.9539170506912438	3.2672811059907834	4.253456221198157	4.078341013824884	4.4792626728110605	5.082949308755761	2.1474654377880187	5.271889400921658	0.0	3.47926267281106	3.751152073732719	5.105990783410139	4.276497695852534	4.3271889400921655	5.235023041474655	2.6313364055299537	3.6497695852534564	4.6728110599078345	4.907834101382488	4.188940092165899	4.221198156682028	4.663594470046083	4.110599078341014	4.248847926267281	3.6267281105990783	5.101382488479263	3.7788018433179724	3.6820276497695854	4.1981566820276495	1.8202764976958525	4.658986175115207	3.387096774193548	3.5207373271889404	4.626728110599078	4.258064516129032
Wulumuqi	3.1152073732718897	2.442396313364055	4.769585253456221	5.018433179723502	4.04147465437788	3.2304147465437785	2.5990783410138247	4.788018433179724	3.71889400921659	4.820276497695852	5.11520737327189	3.7142857142857144	4.433179723502304	3.47926267281106	0.0	2.345622119815668	5.682027649769585	4.84331797235023	4.976958525345622	5.571428571428571	4.064516129032258	5.442396313364055	4.599078341013825	5.221198156682028	4.566820276497696	3.3087557603686637	4.368663594470046	4.313364055299539	4.963133640552995	3.9723502304147464	4.548387096774194	4.958525345622119	5.248847926267281	4.506912442396313	3.327188940092166	4.179723502304148	2.976958525345622	4.165898617511521	3.5668202764976957	4.7373271889400925
Guiyang	3.7788018433179724	3.1797235023041477	4.622119815668203	4.682027649769585	3.175115207373272	4.009216589861751	2.7649769585253456	4.1658986175115205	3.5299539170506913	4.161290322580645	4.76036866359447	3.8755760368663594	4.967741935483871	3.751152073732719	2.345622119815668	0.0	5.373271889400922	4.11520737327189	4.308755760368664	4.875576036866359	3.4009216589861753	5.460829493087558	4.193548387096774	5.0046082949308754	3.824884792626728	3.2857142857142856	4.055299539170507	3.7972350230414746	5.027649769585253	4.32258064516129	4.709677419354838	4.552995391705069	4.829493087557603	4.732718894009217	3.3917050691244244	3.8202764976958523	1.4930875576036868	3.225806451612903	2.8940092165898617	4.447004608294931
Shanghai	5.018433179723502	4.71889400921659	4.580645161290322	4.428571428571429	4.599078341013825	5.373271889400922	5.658986175115208	4.788018433179724	4.815668202764977	4.460829493087558	2.193548387096774	5.211981566820277	5.0691244239631335	5.105990783410139	5.682027649769585	5.373271889400922	0.0	4.764976958525345	5.15668202764977	2.4792626728110596	4.847926267281106	3.539170506912442	3.6359447004608296	4.543778801843318	4.142857142857142	5.359447004608295	3.8663594470046085	4.880184331797235	3.7880184331797233	5.0691244239631335	4.940092165898617	3.32258064516129	3.539170506912442	4.350230414746544	5.105990783410139	4.626728110599078	5.0046082949308754	4.792626728110599	5.248847926267281	3.5345622119815667
Taibei	5.290322580645161	4.67741935483871	3.2027649769585254	4.907834101382488	4.211981566820277	5.511520737327189	4.709677419354839	1.7880184331797235	4.497695852534562	4.571428571428571	4.5207373271889395	4.225806451612903	6.064516129032258	4.276497695852534	4.84331797235023	4.11520737327189	4.764976958525345	0.0	3.7235023041474653	5.032258064516129	3.8294930875576036	5.105990783410139	4.3271889400921655	4.700460829493087	3.525345622119816	5.147465437788018	4.15668202764977	4.433179723502304	4.631336405529954	5.267281105990784	4.368663594470046	4.2626728110599075	4.193548387096774	4.64516129032258	4.105990783410139	3.8986175115207375	3.7557603686635943	4.359447004608295	4.506912442396313	4.423963133640553
Taoyuan	5.225806451612903	5.0046082949308754	4.6082949308755765	4.460829493087558	3.7465437788018434	5.235023041474655	4.589861751152074	4.046082949308755	5.059907834101383	4.626728110599078	5.064516129032258	4.714285714285714	5.483870967741936	4.3271889400921655	4.976958525345622	4.308755760368664	5.15668202764977	3.7235023041474653	0.0	5.050691244239632	3.8202764976958523	5.041474654377881	4.092165898617512	4.433179723502304	2.313364055299539	4.981566820276498	3.935483870967742	4.04147465437788	4.571428571428571	4.6728110599078345	4.7373271889400925	4.589861751152074	4.087557603686636	4.649769585253456	4.497695852534562	3.391705069124424	4.6082949308755765	3.847926267281106	5.142857142857142	4.105990783410139
Hangzhou	4.847926267281106	4.755760368663594	4.465437788018433	4.5852534562211975	4.35483870967742	5.433179723502304	5.364055299539171	5.105990783410139	4.967741935483871	4.921658986175116	2.741935483870968	5.359447004608295	5.640552995391705	5.235023041474655	5.571428571428571	4.875576036866359	2.4792626728110596	5.032258064516129	5.050691244239632	0.0	4.903225806451612	3.774193548387097	4.488479262672811	4.797235023041475	4.3271889400921655	4.723502304147466	4.525345622119816	5.566820276497696	4.193548387096774	5.064516129032258	5.161290322580645	3.71889400921659	3.5852534562211984	4.506912442396313	5.129032258064516	5.331797235023041	4.663594470046084	4.576036866359447	5.092165898617512	3.576036866359447
