Lang_pair	Segment_distance	Tone_distance	Unweighted_total_distance	Weight	Weighted_total_distance
Changsha_Hefei	2.3870967741935485	2.4009216589861753	4.788018433179724	2.1301975135633904	7.485909272008462
Hefei_Qingdao	2.0506912442396312	2.055299539170507	4.105990783410139	2.4824367536181504	7.146010854193903
Xianggang_Hefei	2.6774193548387095	1.880184331797235	4.557603686635945	1.987094247752691	7.200468930618955
Haerbin_Huhehaote	2.2211981566820276	2.3870967741935485	4.6082949308755765	2.3094811574219603	7.516912063951082
Tianjin_Huhehaote	2.313364055299539	1.8847926267281105	4.1981566820276495	2.0475930028796325	6.621620679472698
Taiyuan_Huhehaote	0.9585253456221198	1.8663594470046083	2.824884792626728	2.1083364597927634	3.8872533808151832
Tunxi_Huhehaote	2.622119815668203	2.552995391705069	5.175115207373272	1.9279181361257876	7.608227739426605
Huhehaote_Pingyao	1.6451612903225807	1.8709677419354838	3.5161290322580645	2.091749978803573	5.312233836096201
Guangzhou_Huhehaote	2.6267281105990783	2.096774193548387	4.723502304147465	1.902159119326023	7.093229023114438
Huhehaote_Jianou	2.6820276497695854	1.9539170506912442	4.635944700460829	1.9241074750541685	7.114426499914867
Chengdu_Huhehaote	2.410138248847926	1.7511520737327189	4.161290322580645	2.15640867165225	6.948395093429156
Kunming_Huhehaote	2.0414746543778803	2.1059907834101383	4.147465437788019	2.0561762607251506	6.303622504614017
Hangzhou_Huhehaote	1.8341013824884793	2.672811059907834	4.506912442396313	1.8078915523179995	5.98866745540352
Taoyuan_Huhehaote	2.71889400921659	1.9308755760368663	4.649769585253456	2.148888477816206	7.773475584845906
Meixian_Huhehaote	2.442396313364055	2.4700460829493087	4.912442396313364	2.09765525074547	7.593351534078798
Huhehaote_Shexian	1.9539170506912442	2.262672811059908	4.216589861751152	1.8580571148474219	5.8931622889184645
Wuhan_Huhehaote	2.3179723502304146	2.8294930875576036	5.147465437788018	2.1500078944315097	7.813151939626955
Huhehaote_Shantou	2.511520737327189	2.6912442396313363	5.202764976958525	1.89381102536104	7.447589902404456
Jinan_Huhehaote	1.847926267281106	2.3686635944700463	4.216589861751152	2.0806482013157703	6.213548058652645
Huhehaote_Haikou	2.9815668202764978	2.142857142857143	5.124423963133641	1.9210464094182296	7.870585377389837
Huhehaote_Wenzhou	2.7142857142857144	2.142857142857143	4.857142857142858	1.8550608121481031	7.178022204401994
Huhehaote_Xiangtan	2.769585253456221	2.0506912442396312	4.820276497695852	1.9921263470198038	7.568054997967291
Fuzhou_Huhehaote	2.576036866359447	2.5806451612903225	5.15668202764977	1.859444675740275	7.370643196953058
Suzhou_Huhehaote	1.8064516129032258	2.824884792626728	4.631336405529954	1.9496817611323494	6.346890554672262
Xining_Huhehaote	2.1013824884792625	2.6451612903225805	4.746543778801843	2.2849441838639306	7.446702985446784
